na_signalech_mam_profil,o_signalech_jsem_se_poprve_dozvedel,na_signaly_chodim,na_signaly_chodim_hlavne,signaly_jsem_vyuzil_k,na_signalech_se_mi_povedlo,jsem_autorizovany,funkcionality[status][pisu],funkcionality[status][ctu],funkcionality[status][komentuji],funkcionality[sledovane_blogy][ctu],funkcionality[blogy_vyber][ctu],funkcionality[blogy_nesledovane][ctu],funkcionality[blog][komentuji],funkcionality[blog][pisu],funkcionality[fotky][prohlizim],funkcionality[fotky][vkladam],funkcionality[akce][prohlizim],funkcionality[akce][vkladam],funkcionality[zed_spolecenstvi][ctu],funkcionality[zed_spolecenstvi][pisu],funkcionality[videa][prohlizim],funkcionality[videa][vkladam],funkcionality[autorizovani][chat],jine_site[Facebook],jine_site[Twitter],jine_site[Youtube],jine_site[Instagram],jine_site[Googleplus],jine_site[Lidecz],pouzivas_dalsi_socialni_site,"Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Používám jenom Signály, jiné sociální sítě nepotřebuji]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Signály jsou pro mě nejdůležitější sociální síť]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli kamarádům, kteří na jiných sociálních sítích nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli zajímavým lidem, kteří nejsou na jiných sociálních sítích]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli něčemu, co se děje jenom tam (např. Aktivita nějakého společenství)]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli informacím, které jinde nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli blogům, které rád čtu]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem proto, že mám rád křesťanské prostředí]","Pokud jseš na Signálech (ještě) kvůli něčemu jinému, můžeš nám to prozradit tady:"," [Těší mě, když se mým kamarádům líbí můj obsah (status, fotka, blog, video)]"," [Těší mě, když se cizím lidem líbí můj obsah]"," [Těší mě, když moji kamarádi komentují můj obsah]"," [Těší mě, když cizí lidé komentují můj obsah]"," [Těší mě, když mi kamarádi píšou soukromé zprávy]"," [Těší mě, když mi cizí lidé píšou soukromé zprávy]", [Autorizovaní uživatelé jsou pro mě důvěryhodnější než neautorizovaní]," [Komunikace na Signálech mě někdy obtěžuje, nebo je mi z ní těžko]"," [Na Signálech jsem zažil/a situace, které jsou mi nepříjemné]"," [Na Signálech jsem zažil/a situace, které zažívat nechci]",na_signalech_jsem_zazil,"(Jen ti, kdo zažili nepříjemné komentáře) Komentáře mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné komentáře) [Uvažoval/a jsem, že kvůli nepříjemným komentářům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné komentáře) [Na Signálech by mělo být zakázané psát takové komentáře]","(Jen ti, kdo zažili nepříjemné komentáře) [Ti, kdo píší takové komentáře, by na Signálech vůbec neměli být]","(Jen ti, kdo zažili nepříjemné vzkazy) Vzkazy mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné vzkazy) [Uvažoval/a jsem, že kvůli nepříjemným vzkazům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné vzkazy) [Na Signálech by mělo být zakázané psát takové vzkazy]","(Jen ti, kdo zažili nepříjemné vzkazy) [Ti, kdo píší takové vzkazy, by na Signálech vůbec neměli být]",jsem,vek,studuji,(Jen žáci a studenti) Jsem žák / student,moje_nejvyssi_dosazene_vzdelani
10 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože tu píšu blog,  Protože rád čtu blogy,  Protože rád diskutuji","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Diskutování s ostatními uživateli","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Najít nové kamarády",ano,alespoň jednou týdně,vícekrát za den,denně,denně,méně než jednou týdně,méně než jednou týdně,denně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vícekrát za den,několikrát za měsíc nebo méně,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,,vůbec nesouhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,zcela souhlasím,vůbec nesouhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,spíše souhlasím,vůbec nesouhlasím,je mi to jedno,vůbec nesouhlasím,Nepříjemné vzkazy od cizích lidí,,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,muž,25-30,"ne, vzdělání mám již ukončené",,SŠ - všeobecná (gymnázium nebo obdobný typ školy)
6 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám","Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)",Díky diskusi si rozšířit obzory,ne,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,vůbec,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,vůbec,vůbec,méně než jednou týdně,,několikrát za měsíc nebo méně,,několikrát za měsíc nebo méně,,,,,,spíše souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,spíše souhlasím,spíše souhlasím,,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,,vůbec nesouhlasím,vůbec nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
rok nebo kratší dobu,díky propagaci na akci,několikrát za týden,"Protože tu píšu blog,  Protože rád čtu blogy,  Kvůli přehledu křesťanských akcí","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse",ne,vůbec,méně než jednou týdně,vůbec,alespoň jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,,jednou nebo několikrát týdně,vůbec,vícekrát za den,vůbec,vůbec,vůbec,vlastní,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,zcela souhlasím,zcela souhlasím,Hlavně jsem chtěl někde založit blog. Křesťanská sociální síť se zdála být vhodným prostředím :),zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,muž,25-30,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - humanitní obor,VŠ - humanitní obor
9 let,už si nepamatuji,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů","Čtení blogů,  Čtení redakčního obsahu,  Diskutování s ostatními uživateli","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Díky diskusi si rozšířit obzory,  Najít nové kamarády",ano,vůbec,denně,méně než jednou týdně,denně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,vícekrát za den,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vícekrát za den,vůbec,jednou nebo několikrát týdně,několikrát za měsíc nebo méně,vůbec,vůbec,,vůbec nesouhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,spíše souhlasím,spíše souhlasím,je mi to jedno,zcela souhlasím,je mi to jedno,zcela souhlasím,zcela souhlasím,je mi to jedno,spíše souhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
2 roky,jinak,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Vyvést někoho z omylu,  Lépe poznat nauku vlastní církve,  Lépe poznat nauku jiné církve,  Být znejistěn ohledně nauky vlastní církve,  Najít nové kamarády",ne,méně než jednou týdně,denně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,,několikrát za měsíc nebo méně,vůbec,několikrát za měsíc nebo méně,vůbec,několikrát za měsíc nebo méně,vůbec,ne,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,,spíše souhlasím,je mi to jedno,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše nesouhlasím,vůbec nesouhlasím,spíše souhlasím,zcela souhlasím,spíše nesouhlasím,"Nepříjemné komentáře od kamarádů, Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí","Urážely mě, byly pro mě příliš osobní",spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,Urážely mě,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,žena,40-50,"ne, vzdělání mám již ukončené",,SŠ - všeobecná (gymnázium nebo obdobný typ školy)
9 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád diskutuji","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který se mi líbil,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Díky diskusi opravit svůj mylný názor,  Psát si se svými kamarády",ano,alespoň jednou týdně,denně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,ne,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",,zcela souhlasím,zcela souhlasím,spíše souhlasím,je mi to jedno,spíše souhlasím,spíše souhlasím,spíše souhlasím,je mi to jedno,zcela souhlasím,zcela souhlasím,"Nepříjemné komentáře od kamarádů, Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od kamarádů, Nepříjemné vzkazy od cizích lidí","Byly od kamaráda, Urážely mě",spíše souhlasím,je mi to jedno,spíše nesouhlasím,,,,,žena,,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
8 let,už si nepamatuji,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože tu píšu blog,  Protože rád čtu blogy,  kvůli kontaktu s křesťany obecně. Podařilo se mi navázat osobní přátelství, která mají reálný přesah - vídáme se, telefonujeme si, máme chuť plánovat společné poutě. ","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,denně,denně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,vůbec,vůbec,jednou nebo několikrát týdně,několikrát za měsíc nebo méně,vůbec,vůbec,ne,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,"Nepříjemné komentáře od kamarádů, Nepříjemné komentáře od cizích lidí","Dělaly si ze mě legraci, Urážely mě",zcela souhlasím,spíše souhlasím,zcela souhlasím,,,,,žena,30-40,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
5 let,náhodným brouzdáním na internetu,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli","Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi si rozšířit obzory,  Vyvést někoho z omylu,  Najít nové kamarády",ne,alespoň jednou týdně,denně,denně,denně,denně,denně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,denně,alespoň jednou týdně,vůbec,vůbec,,vůbec,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,,zcela souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše nesouhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,,zcela souhlasím,zcela souhlasím,,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,muž,více než 50 let,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
10 let,už si nepamatuji,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože tu píšu blog,  Protože rád čtu blogy,  Protože rád diskutuji","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů,  Hledání partnera/partnerky","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Někoho ""pořádně setřít"",  Lépe poznat nauku vlastní církve,  Být znejistěn ohledně nauky vlastní církve,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,denně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,každý den,,,,,,,spíše nesouhlasím,zcela souhlasím,vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,vůbec nesouhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,je mi to jedno,spíše souhlasím,zcela souhlasím,zcela souhlasím,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí",Urážely mě,spíše souhlasím,spíše souhlasím,spíše souhlasím,Urážely mě,spíše souhlasím,spíše souhlasím,spíše souhlasím,muž,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože tu píšu blog,  Protože rád čtu blogy","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi si rozšířit obzory,  Psát si se svými kamarády,  Najít nové kamarády",ne,,alespoň jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,vůbec,vůbec,,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,Xchat.cz,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,vůbec nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,je mi to jedno,spíše souhlasím,je mi to jedno,je mi to jedno,zcela souhlasím,zcela souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,zcela souhlasím,zcela souhlasím,,,,,,,,,,žena,30-40,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
